temp;RH;transport;eggs;larvae;larvaepergram;hatchrate
20;60;3;2,077;2567;1236;1,05
20;60;6;2,016;2452;1216;1
20;60;6;2,066;2719;1316;1,11
20;60;6;2,076;2943;1418;1,2
15;60;0;2,081;2461;1183;1,21
15;60;0;2,015;1553;771;0,76
15;60;0;2,02;2087;1033;1,03
15;60;1;2,007;1649;822;0,81
15;60;1;2,009;1925;958;0,95
15;60;1;2,007;1637;816;0,8
15;60;2;2,089;2146;1028;1,06
15;60;2;2,017;2021;1002;0,99
15;60;2;2,02;2352;1164;1,16
15;60;3;2,002;2247;1122;1,1
15;60;3;2,036;1823;896;0,9
15;60;3;2,025;2069;1022;1,02
15;60;6;2,058;2315;1125;1,14
15;60;6;2,004;1988;992;0,98
15;60;6;2,032;1966;968;0,97
15;40;0;2,003;2392;1194;1,07
15;40;0;2,019;2188;1084;0,98
15;40;0;2,024;2126;1051;0,95
15;40;1;2,009;2260;1125;1,01
15;40;1;2,032;2519;1239;1,13
15;40;1;2,011;1720;855;0,77
15;40;2;2,01;1943;967;0,87
15;40;2;2,021;2324;1150;1,04
15;40;2;2,005;1982;988;0,89
15;40;3;2,002;2292;1145;1,03
15;40;3;2,018;2037;1009;0,91
15;40;3;2,033;2264;1113;1,01
15;40;6;2,003;1884;941;0,84
15;40;6;2,006;1933;963;0,86
15;40;6;2,049;2579;1259;1,15
30;60;0;2,022;2426;1200;1,03
30;60;0;2,003;2042;1019;0,87
30;60;0;2,054;2564;1248;1,09
30;60;1;1,993;2492;1251;1,06
30;60;1;1,991;2285;1148;0,97
30;60;1;1,986;1762;887;0,75
30;60;2;2,024;2979;1472;1,27
30;60;2;2,071;2522;1218;1,08
30;60;2;2,006;2533;1263;1,08
30;60;3;2,008;2247;1119;0,96
30;60;3;2,053;2803;1365;1,2
30;60;3;2,009;2179;1085;0,93
30;60;6;2,041;2031;995;0,87
30;60;6;2,006;2493;1243;1,06
30;60;6;1,994;2492;1250;1,06
20;40;0;2,026;1952;964;1,02
20;40;0;2,075;1826;880;0,96
20;40;0;2,005;1947;971;1,02
20;40;1;2,092;1650;789;0,86
20;40;1;2;1295;648;0,68
20;40;1;2,07;1448;700;0,76
20;40;2;2,095;1921;917;1,01
20;40;2;2,013;1773;881;0,93
20;40;2;2,034;1891;930;0,99
20;40;3;2,069;1783;862;0,93
20;40;3;2,013;1748;868;0,92
20;40;3;2,095;2032;970;1,07
20;40;6;2,031;1640;808;0,86
20;40;6;2,004;1776;886;0,93
20;40;6;2,089;1709;818;0,9
20;60;0;2,019;2172;1076;0,89
20;60;0;2,047;2855;1395;1,16
20;60;0;2,009;2334;1162;0,95
20;60;1;2,035;2418;1188;0,99
20;60;1;2,065;2618;1268;1,07
20;60;1;2,021;2423;1199;0,99
20;60;2;2,099;2512;1197;1,02
20;60;2;2,025;2509;1239;1,02
20;60;2;2,016;2137;1060;0,87
20;60;3;2,01;2726;1356;1,11
20;60;3;2,072;2704;1305;1,1
20;60;3;2,077;2567;1236;1,05
20;60;6;2,016;2452;1216;1
20;60;6;2,066;2719;1316;1,11
20;60;6;2,076;2943;1418;1,2
10,01;60;0;2,045;2416;1182;1,01
10,01;60;0;2,064;2526;1224;1,05
10,01;60;0;2,061;2261;1097;0,94
10,01;60;1;2,023;2276;1125;0,95
10,01;60;1;2,008;2361;1176;0,98
10,01;60;1;2,008;2153;1072;0,9
10,01;60;2;2,05;2084;1016;0,87
10,01;60;2;2,067;1714;829;0,71
10,01;60;2;2,014;1832;910;0,76
10,01;60;3;2,035;1365;671;0,57
10,01;60;3;2,053;1597;778;0,67
10,01;60;3;2,014;1420;705;0,59
10,01;60;6;2,061;450;218;0,19
10,01;60;6;2,018;400;198;0,17
10,01;60;6;2,05;622;303;0,26
20,01;80;0;2,044;2105;1030;1,02
20,01;80;0;2,084;2131;1023;1,03
20,01;80;0;2,02;1954;967;0,95
20,01;80;1;2,029;1835;905;0,89
20,01;80;1;2,041;1930;945;0,94
20,01;80;1;2,001;2137;1068;1,04
20,01;80;2;2,017;2365;1172;1,15
20,01;80;2;2,039;2361;1158;1,14
20,01;80;2;2,004;2122;1059;1,03
20,01;80;3;2,011;1865;927;0,9
20,01;80;3;2,005;2005;1000;0,97
20,01;80;3;2,02;2387;1181;1,16
20,01;80;6;2,021;1775;878;0,86
20,01;80;6;2,009;1696;844;0,82
20,01;80;6;2,039;2374;1165;1,15
10;80;0;2,009;1753;1753;1,06
10;80;0;2,015;1722;1718;1,04
10;80;0;2,002;1490;1470;0,9
10;80;1;2,04;1367;1374;0,83
10;80;1;2,03;1334;1325;0,81
10;80;1;2,003;1353;1355;0,82
10;80;2;2,006;1243;1246;0,75
10;80;2;2,01;1100;1112;0,66
10;80;2;2,023;1131;1009;0,68
10;80;3;2,007;1255;1244;0,76
10;80;3;2,004;1375;1361;0,83
10;80;3;2,002;1381;1381;0,83
10;80;6;2,004;771;770;0,47
10;80;6;2,009;858;842;0,52
10;80;6;2,012;795;797;0,48
15;80;0;2,013;1901;1907;1,03
15;80;0;2,028;2011;2005;1,09
15;80;0;2,003;1602;1620;0,87
15;80;1;2,015;1194;1195;0,65
15;80;1;2,015;1684;1645;0,92
15;80;1;2,005;1653;1643;0,9
15;80;2;2,004;1463;1470;0,8
15;80;2;2,01;1561;1565;0,85
15;80;2;2,007;1432;1437;0,78
15;80;3;2,002;1473;1473;0,8
15;80;3;2,002;1621;1621;0,88
15;80;3;2,012;1770;1775;0,96
15;80;6;2,021;1687;1431;0,92
15;80;6;2,013;1440;1451;0,78
15;80;6;2,014;1427;1652;0,78
